Day,Month,Year,Risk Trader,CUSTOMER_ID,Unnamed: 5,SOURCE,ORIGINAL FLAG,CURRENT_FLAG,date,SINGLE_PROPORTION_30D,MARKET_MARGIN_30D,TURNOVER_PER_BET_30D,DEPOSIT_MAX_30D,SHIELD_REJECTION_30D,LIVE_PROPORTION_30D,GGR_PER_BET_30D,MARGIN_30D,MARGIN_PER_BET_30D,CLOSING_LINE_VALUE_30D,MAX_STAKE_RATIO_30D,MARKET_TYPE_SCORE_30D,BET_SCORE_30D,TIME_BEFORE_EVENT_30D,LATE_BET_ACTION_COUNT_30D,LATE_BET_STOLEN_AMOUNT_EURO_30D,SINGLE_PROPORTION_10D,MARKET_MARGIN_10D,TURNOVER_PER_BET_10D,DEPOSIT_MAX_10D,SHIELD_REJECTION_10D,LIVE_PROPORTION_10D,GGR_PER_BET_10D,MARGIN_10D,MARGIN_PER_BET_10D,CLOSING_LINE_VALUE_10D,MAX_STAKE_RATIO_10D,MARKET_TYPE_SCORE_10D,BET_SCORE_10D,TIME_BEFORE_EVENT_10D,LATE_BET_ACTION_COUNT_10D,LATE_BET_STOLEN_AMOUNT_EURO_10D,SELECTION_DIVERSITY_LAST_0_DAYS,SHARP_SHARE_LAST_0_DAYS,YELLOW_BREAKOUT_LAST_0_DAYS,RISKY_RING_RATIO_LAST_0_DAYS,SINGLE_PROPORTION_365D,MARKET_MARGIN_365D,TURNOVER_PER_BET_365D,DEPOSIT_MAX_365D,SHIELD_REJECTION_365D,LIVE_PROPORTION_365D,GGR_PER_BET_365D,MARGIN_PER_BET_365D,MARGIN_365D,CLOSING_LINE_VALUE_365D,MARKET_TYPE_SCORE_365D,BET_SCORE_365D,SHARP_SHARE_365D,TIME_BEFORE_EVENT_365D,MAX_STAKE_RATIO_365D,SINGLE_PROPORTION_180D,MARKET_MARGIN_180D,TURNOVER_PER_BET_180D,DEPOSIT_MAX_180D,SHIELD_REJECTION_180D,LIVE_PROPORTION_180D,GGR_PER_BET_180D,MARGIN_PER_BET_180D,MARGIN_180D,CLOSING_LINE_VALUE_180D,MARKET_TYPE_SCORE_180D,BET_SCORE_180D,SHARP_SHARE_180D,TIME_BEFORE_EVENT_180D,MAX_STAKE_RATIO_180D,SINGLE_PROPORTION_90D,MARKET_MARGIN_90D,TURNOVER_PER_BET_90D,DEPOSIT_MAX_90D,SHIELD_REJECTION_90D,LIVE_PROPORTION_90D,GGR_PER_BET_90D,MARGIN_PER_BET_90D,MARGIN_90D,CLOSING_LINE_VALUE_90D,MARKET_TYPE_SCORE_90D,BET_SCORE_90D,SHARP_SHARE_90D,TIME_BEFORE_EVENT_90D,MAX_STAKE_RATIO_90D,LATE_BET_ACTION_COUNT_90D,LATE_BET_STOLEN_AMOUNT_EURO_90D,SHARP_SHARE_30D,SHARP_SHARE_10D,has_previous,days_since_previous,previous_label,NB_BET_LAST_10_DAYS,NB_BET_LAST_30_DAYS,NB_BET_LAST_90_DAYS,NB_BET_LAST_180_DAYS,NB_BET_LAST_365_DAYS,TURNOVER_LAST_10_DAYS,TURNOVER_LAST_30_DAYS,TURNOVER_LAST_90_DAYS,TURNOVER_LAST_180_DAYS,TURNOVER_LAST_365_DAYS,DEPOSIT_LAST_10_DAYS,DEPOSIT_LAST_30_DAYS,DEPOSIT_LAST_90_DAYS,DEPOSIT_LAST_180_DAYS,DEPOSIT_LAST_365_DAYS,GGR_LAST_10_DAYS,GGR_LAST_30_DAYS,GGR_LAST_90_DAYS,GGR_LAST_180_DAYS,GGR_LAST_365_DAYS
5.0,2.0,2025.0,Damian,50618088,,PRS model v2 - risk,bluish,Brown,2025-02-04,1.0,0.1278872733156851,18.684733294117343,,0.3333334375,0.0352943176470588,-0.924212550706082,-0.0494635131343688,0.1070019257226353,1.188889390760831,0.8458917433329755,-0.014861915041435,0.7029266759705531,1.0276971158379418,0.0,0.0,0.0,,14.406324527777391,0.0,0.0,0.0,7.785727177777556,0.5404381362344977,0.5375718451213334,1.099898305065,0.9059172115720074,0.0,0.6593144031861587,0.0,0.0,0.0,,,0.0,0.0,0.9851694915254238,0.1628300122812442,46.87401661041169,468.578,0.4742267525773195,0.7302752642201834,-6.169975753960891,-0.0425821208375764,-0.1316289108578276,1.0936650014330538,-0.0080115438528242,0.692676345018212,0.2018893349194664,0.983343790862732,0.6560914503461197,0.9678899082568808,0.1780260636675208,41.21447699964837,,0.466346125,0.6944445034722223,-5.947621937460996,0.0245437054115586,-0.1443090479471852,1.1888893907608309,-0.0062113759418976,0.6854448746704748,0.2376537605589447,1.0361410390387302,0.7902405104161307,0.9876543209876544,0.1999097102868017,30.472936744201473,,0.417721582278481,0.3278689918032786,0.1225503701679496,0.0907242816956638,0.0040216133810738,1.188889390760831,-0.0074850013291971,0.6650013879287533,0.2469782224194892,1.0276971158379418,0.7902405104161309,,,,0.0,1.0,3.0,0.5,36.0,85.0,119.0,256.0,510.0,518.627683,1588.20233,3626.27947256,10550.90611191,23905.74847131,0.0,,,,468.578,280.28617840000004,-78.55806681,14.583494050000022,-1522.59121599,-3146.6876345199994
5.0,2.0,2025.0,Damian,18568842,,PRS model v2 - risk,No flag,Bluish,2025-02-04,0.5454546060606061,0.0313941512814676,872.8121212121212,,0.5277777777777778,0.3617022021276596,-165.71212121212125,-0.1898600136097624,-0.1640872853572272,1.0112997236926813,0.299323024033887,-0.0611295837509844,0.4153471700552196,5.464851990472973,0.0,0.0,0.0,,1073.1083333333331,0.0,0.0,0.5000000625000001,-73.43458333333355,-0.0684316588105182,-0.10207336806575,1.0268115226442152,0.3498091879586947,0.0,0.4418488544735361,0.0,0.0,0.0,,,0.0,0.0,0.50000002,0.0401661008031013,614.6139344262294,5810.0,0.547058905882353,0.3051471176470588,-63.192568306010955,-0.0093429908879999,-0.1028166866489733,1.016529562931451,-0.1294932048772749,0.4567000204052155,0.754728723953132,5.900380734362955,0.3797340837944685,0.5476190952380953,0.0369762596690715,670.5691194968553,4250.0,0.5395684388489208,0.3217392130434782,-93.0540880503145,-0.1047784108962704,-0.1387688238911461,1.0166058740794783,-0.1284437651699857,0.45444491758652,0.7710550763215231,5.548616175867438,0.3930901091761517,0.5752213008849557,0.0338588568245383,702.760205479452,2500.0,0.5447155772357722,0.3526571014492753,-101.96041095890416,-0.151642212670226,-0.1450856354185868,1.0166058740794786,-0.1319436011436261,0.4553764762792046,0.7759813166885315,5.851731811281216,0.3930901091761517,,,,0.0,0.0,,0.0,24.0,66.0,147.0,160.0,184.0,25754.6,57605.6,102602.99,106620.49,112474.35,0.0,,2500.0,2500.0,2500.0,-1762.4299999999998,-10936.999999999998,-14886.22,-14795.6,-11564.239999999998
5.0,2.0,2025.0,Damian,14195915,,PRS model v2 - risk,bluish,bluish,2025-02-04,0.3743316096256684,0.0240925400077524,246.97192488262905,2040.0,0.3833332166666666,0.0405405315315315,11.720610328638616,0.0474572578814321,0.0490375586854671,1.0005689287339443,0.504166329550999,-0.1135341149239061,0.5791810635075529,3.4744419711234102,0.0,0.0,0.0,,203.72847826086945,0.0,0.0,0.0590405461254612,39.48021739130454,0.1937884076311455,0.1684239130435489,0.9937439105768252,0.5190954865063349,0.0,0.6132246388054365,0.0,0.0,0.0,0.284198723213156,,0.25,0.0,0.6593674148418492,0.0843287616034151,200.5726925122093,6260.0,0.3656351042345276,0.0594170556801195,-7.496707381577224,-0.0365289281963027,-0.0373765106689506,1.0060056481277042,-0.1306854453111928,0.5898755306947869,0.5500119839830676,1.3828774774842154,0.5506663946518258,0.6656071392244121,0.0839293833270932,207.39662251656736,5470.0,0.3656351042345276,0.0568777906413876,-8.14782008828913,-0.052748344370862,-0.0392861753939313,1.006014998738836,-0.131614268479605,0.5890895794935374,0.5536578479294232,1.3807675396579568,0.5751357623937975,0.5262529880668257,0.0863419792916269,245.7862488393686,2040.0,0.423475162255466,0.0618363716427233,-11.296703806870864,-0.0538904363973899,-0.0459614964637966,1.0044118549398269,-0.1163618397664135,0.5745632893210534,0.599480491143802,2.2471074929189205,0.5673187108094264,,,,0.0,1.0,5.0,0.5,184.0,426.0,1086.0,1821.0,1892.0,37486.04,105210.04,264711.79,375802.68000002,377678.38000049005,0.0,740.0,740.0,1000.0,1000.0,7264.36,4992.98,-12166.55,-14763.84999998,-14116.299999510004
5.0,2.0,2025.0,Damian,51736114,,PRS model v2 - risk,Blue,Brown,2025-02-04,0.6666666666666666,0.0368728290728732,9.869794089565218,,0.5,0.041666625,-3.3161257217391737,-0.3359873257379472,-0.3535364417815652,1.4043347749841857,0.4855822622541915,-0.0980298172407175,0.7668461526890562,7.8739372056180335,0.0,0.0,0.0,,9.486226187272818,0.0,0.0,0.090909,3.0127941463635453,0.3175967014584895,0.2992024068870909,1.3201626828329556,0.484805467309747,0.0,0.5752312082092493,0.0,0.0,0.0,,,0.0,0.0,0.8695652463768115,0.0537443075019902,11.12825714764046,58.16,0.2,0.0546874921875,-1.105266812809011,-0.2160493587046854,-0.0993207470086777,1.3827993963728462,-0.0560216357353511,0.6381852324912278,0.1440868555163812,20.66040630265281,0.4145351068391247,0.8695652463768115,0.0537443075019903,11.12825714764046,58.16,0.2,0.0546874921875,-1.105266812809011,-0.2160493587046854,-0.0993207470086777,1.3827993963728464,-0.0560216357353512,0.6381852324912277,0.1440868555163812,20.6604063026528,0.4145351068391247,0.7647058823529411,0.0224657411680335,11.417097082702702,,0.5,0.1395348604651163,-0.9869786194594594,-0.0917889634583513,-0.0864474228701873,1.324633286841251,-0.0776602937429567,0.609965308374402,0.2136180972312767,25.22540679066239,0.4138293508909098,,,,0.0,1.0,17.0,0.5,11.0,23.0,38.0,90.0,90.0,104.34848806,227.00526406000003,422.43259206,990.41488614,990.41488614,0.0,,,46.6,46.6,33.14073561,-76.2708916,-36.51820891999999,-98.36874634,-98.36874634
5.0,2.0,2025.0,Damian,53089791,,PRS model v2 - risk,Blue,Brown,2025-02-04,1.0,0.101585971894851,43.68360000000011,270.0,0.0,0.0,-8.512399999999879,-0.1948648920877257,-0.2223992755082399,1.1139336921665894,0.5052297509419965,-0.228620745856597,0.7124418777590017,14.798783048454704,0.0,0.0,0.0,,41.28076923076931,0.0,0.0,0.0,-22.661538461538463,-0.5489611478617304,-0.526923076923,1.062768083128363,0.1173213479947298,0.0,0.7628095552204008,0.0,0.0,0.0,,,1.0,0.0,1.0,0.043325056513981,46.4030000000001,620.0,0.0,0.0,0.0730000000000998,-0.0753327295901999,0.0015731741481624,1.1139336921665897,-0.2310909072998229,0.6880532012166054,0.4390456035655,12.198965607142116,0.531496504647514,1.0,0.043325056513981,46.4030000000001,620.0,0.0,0.0,0.0730000000000998,-0.0753327295902,0.0015731741481624,1.1139336921665897,-0.2310909072998228,0.6880532012166056,0.4390456035655,12.198965607142116,0.5314965046475139,1.0,0.043325056513981,46.4030000000001,620.0,0.0,0.0,0.0730000000000994,-0.0753327295902,0.0015731741481624,1.1139336921665892,-0.2310909072998227,0.6880532012166055,0.4390456035655,12.198965607142116,0.5314965046475139,,,,0.0,1.0,4.0,0.5,13.0,27.0,32.0,32.0,32.0,536.65,1092.09,1392.09,1392.09,1392.09,0.0,100.0,200.0,200.0,200.0,-294.6,-212.81,2.1899999999999977,2.1899999999999977,2.1899999999999977
5.0,2.0,2025.0,Damian,14537358,,PRS model v2 - risk,bluish,Bluish,2025-02-04,0.0,0.2097719912021717,2.9496211864284994,57.94,0.3571427857142857,0.0657894342105263,2.9496211864285,1.0,1.0,1.004594222751773,0.007603086812162,-0.0306287436303823,0.6237436644293443,-9.597439198774946,0.0,0.0,0.0,,1.84280057,0.0,0.0,0.2,1.84280057,1.0,1.0,,0.0122711285978542,0.0,0.7169797016721697,0.0,0.0,0.0,,,0.0,0.0,0.0469613218232044,0.1560941362021873,3.720895699230748,970.3663700000004,0.5092348284960422,0.0395622929292929,-0.561609016140136,0.2633628323988626,-0.1509338238790371,1.0400985957360425,-0.0423562230495833,0.5971041953947069,0.0534964971020097,7.1607896460510325,0.0865297248934203,0.039473697368421,0.1478066388967913,2.613898642884635,258.70000000000005,0.4237287457627118,0.0333333217948718,0.136167424551282,0.3270460405085513,0.0520936130870607,1.012259161417574,-0.0481335604271715,0.611837578824235,0.0608235732961741,1.1649575939149297,0.1990480412241629,0.0,0.1741975064449938,2.1206663984210525,105.14,0.4782608260869564,0.031249984375,1.4710259352631578,0.9296155027846316,0.6936621131727425,1.0161000607363546,-0.0567698478746895,0.5629060278947284,0.0424789521929129,-3.5399474453610353,0.1828511740083734,,,,0.0,1.0,299.0,0.5,2.0,14.0,46.0,164.0,736.0,3.68560114,41.29469661,80.58532314,407.76818829,2708.812069040001,0.0,28.13,28.13,28.13,113.69889,3.68560114,41.29469661,55.89898554,21.242118230000003,-408.85136375
5.0,2.0,2025.0,Damian,22293611,,PRS model v2 - risk,No flag,No flag,2025-02-04,1.0,0.2121211570970526,39.583333333333336,300.0,0.384615,0.6666666666666666,39.583333333333336,1.0,1.0,,0.5133876653044271,-0.0017291687984246,0.0426091987223013,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.4821428571428571,0.1937402027702179,130.55000000433333,7370.0,0.384615,0.5254236610169492,-14.18683332916662,0.4260266666803666,-0.1086697305913207,1.016679791472115,-0.0059262376198938,0.3994479265322366,0.0698934487636828,6.613246969979491,0.1797165409751857,0.4782608695652174,0.1879337676196802,97.22222222629628,2450.0,0.384615,0.5510202244897959,28.962962967037036,0.8200000000000001,0.2979047619341831,1.039462746515,-0.0062495077892164,0.3943300296003236,0.1165111758046105,4.999999999999999,0.4429649327861122,0.9,0.1896304435073394,55.35714285857143,600.0,0.384615,0.75,55.35714285857143,1.0,1.0,,-0.0043368157431099,0.3480581737620423,0.1954437902627422,,0.4429649327861122,,,,0.0,0.0,,0.0,,12.0,14.0,27.0,60.0,,475.0,775.00000002,2625.0000001099997,7833.00000026,0.0,300.0,300.0,650.0,650.0,,475.0,775.00000002,782.00000011,-851.2099997499997
5.0,2.0,2025.0,Damian,16779407,,PRS model v2 - risk,No flag,No flag,2025-02-04,0.98989898989899,0.0776234580237847,5.096038647391314,50.0,1.0,0.0093023255813953,0.6163768116424687,0.1209521462239522,0.0203395615536183,1.3633558100986525,0.026193147526972,-0.1387057900792531,0.5547329408943473,-0.7741610183500084,0.0,0.0,0.0,,5.133297872446936,0.0,0.0,0.0,0.5414893618084574,0.1054856693031515,0.0970783894327979,1.1344546613962707,0.0202949570863732,0.0,0.5449504412444133,0.0,0.0,0.0,0.7807384779945126,,0.0,0.0,0.9313186813186812,0.1257997483684321,6.533839713145935,50.0,1.0,0.0202224479271991,0.3022488040071662,0.0850846342279688,0.0462589866413536,1.3005528345321435,-0.1099158333480578,0.5966408684976493,0.3012647529732241,55.46994252143777,0.0406023821903013,0.960820901119403,0.119208343862781,6.450760869627328,50.0,1.0,0.0182841139240506,0.3903416149689364,0.1003265415118462,0.0605109417102747,1.3248531045424463,-0.1193740261795002,0.6019563778849725,0.3541538678092347,35.67157538224559,0.0480093601755378,0.9930313519163764,0.10247141621896,5.647721519012662,50.0,1.0,0.00990100990099,0.3835189873670911,0.0730449859391063,0.0679068516526152,1.2803306246572008,-0.1354590268780971,0.5679059108531355,0.3773657881177967,42.609370491873435,0.0466460177912705,,,,0.0,0.0,,0.0,94.0,207.0,410.0,660.0,852.0,482.53000001,1054.88000001,2230.8500000100003,4154.29000004,5462.29000019,0.0,50.0,50.0,50.0,50.0,50.90000001000001,127.59000001000004,151.49000001000002,251.38000004000003,252.68000015000007
5.0,2.0,2025.0,Damian,15525777,,PRS model v2 - risk,Blue,No flag,2025-02-04,0.2499998749999999,0.1376761019791282,13.74263001263163,316.89,0.5714285714285714,0.8155339805825242,9.675467460000052,0.7040477296636157,0.6768590093550527,1.0618408723847097,0.1281621466518336,-0.1036668782214381,0.591514597830695,2.154300245376848,0.0,0.0,0.0,,1.78405503,0.0,0.0,1.0,1.78405503,1.0,1.0,,0.0002859753644191,0.0,0.3763570136267632,0.0,0.0,0.0,,,0.0,0.0,0.1714285428571428,0.1457226276636903,21.837761592592592,1654.04245,0.4545454545454545,0.3188854736842105,-0.5064736550617033,0.1086834711611481,-0.0231925627044122,1.0914694778583942,-0.0484717627201303,0.6364116425699169,0.1165795777434168,16.728838981046888,0.1176959364488245,0.1454545090909091,0.1442799847199196,25.22782565636364,1580.15,0.4545454545454545,0.4097560975609756,-1.370112883939364,-0.0117633992726969,-0.0543095906322037,1.0958342831884025,-0.0537463327937467,0.6452266864545776,0.1243275467921164,15.43760621050192,0.1452205698670669,0.1320754339622641,0.1442062659211464,25.790536332500004,1580.15,0.4545454545454545,0.4242424242424242,-1.3392125503124688,-0.0128738149417499,-0.051926510292194,1.0958342831884025,-0.0545876005111268,0.6442333948702955,0.1226489197867928,15.375404156340606,0.1452205698670669,,,,0.0,1.0,72.0,0.5,8.0,19.0,65.0,67.0,82.0,14.27244024,261.10997024000005,1650.5943252800002,1665.03649332,1768.858689,0.0,222.73,304.53,304.53,304.53,14.27244024,183.83388174,-85.70960322000003,-90.42745033999996,-41.024366060000034
5.0,2.0,2025.0,Damian,51698298,,PRS model v2 - risk,Blue,Blue,2025-02-04,1.0,0.0212123901621936,10.854328358208988,20.0,0.0,0.0,-1.8823880597014928,-0.1734228040261538,0.1107463111685223,0.9467664614205762,0.1638474399286132,-0.211026875879921,0.66908201894295,-3.408235199871863,0.0,0.0,0.0,,31.526923076923232,0.0,0.0,0.0,-8.99230769230769,-0.2852263023057759,-0.1769290832444615,1.118421052632,0.5046081635755549,0.0,0.6599172184952542,0.0,0.0,0.0,0.2061932676300889,,0.0,0.0,0.9877675840978594,0.0365547530023913,3.969624277456645,70.0,0.0,0.0,-0.3357514450867225,0.1242737114074017,-0.0845801571180021,0.9519485467122508,-0.2959171744849801,0.6763712343945268,0.1729597766705951,-2.196253805193929,0.1334360615292233,0.986970684039088,0.0362001410314681,4.156717791411043,50.0,0.0,0.0,-0.3788957055214878,0.117480687567365,-0.0911526171693421,0.9519485467122508,-0.2953702499701294,0.6758330745384853,0.1766473805545648,-2.2822762192229114,0.1405619332602707,0.9393939393939394,0.0226719829283258,9.306352941176494,20.0,0.0,0.0,-1.4712941176470586,0.1789019942936117,-0.1580956715210134,0.9467664614205762,-0.2440173931065223,0.6703380725848088,0.2689724703504768,-2.642517271354781,0.1441523544818771,,,,0.0,1.0,1.0,0.5,13.0,68.0,87.0,328.0,348.0,409.85,727.24,791.0400000000001,1355.0899999999997,1373.49,0.0,20.0,20.0,30.0,30.0,-116.9,-126.12,-125.06,-123.51999999999998,-116.17
